ea_id,method,family,type,train_f1,train_auc,train_acc,train_recall,train_specificity,train_threshold,val_f1,val_auc,val_acc,val_recall,val_specificity,val_threshold,test_f1,test_auc,test_acc,test_recall,test_specificity,test_threshold
EA-C1,Logistic regression meta-learner,C,LIT,0.9593777009507347,0.9978760141029557,0.9856093080220453,0.9668989547038328,0.9895988112927192,0.205,0.7368421052631579,0.9041638927555529,0.9175257731958762,0.6829268292682927,0.9652605459057072,0.21499999999999997,0.6870229007633588,0.8943802552779626,0.8765060240963856,0.7377049180327869,0.9077490774907749,0.18
EA-C3,Gradient-boosted trees meta-learner,C,LIT,0.9779735682819384,0.9938788176090209,0.9923453766074709,0.9668989547038328,0.9977711738484398,0.35,0.7012987012987013,0.80788900320765,0.9051546391752577,0.6585365853658537,0.9553349875930521,0.08999999999999998,0.6837606837606838,0.8025225334220555,0.8885542168674698,0.6557377049180327,0.940959409594096,0.05499999999999999
EA-C4,Decision-template combiner,C,LIT,0.9588801399825022,0.997866953834047,0.9856093080220453,0.9547038327526133,0.9921991084695394,0.5149999999999999,0.7368421052631579,0.9041638927555529,0.9175257731958762,0.6829268292682927,0.9652605459057072,0.5099999999999999,0.6991869918699187,0.8943802552779626,0.8885542168674698,0.7049180327868853,0.9298892988929889,0.44999999999999996
EA-C5.2,Feature-engineered stacking — LogReg tier ablation,C,ORIG,0.9603448275862069,0.9974760679468396,0.9859154929577465,0.9703832752613241,0.9892273402674592,0.22499999999999998,0.7368421052631579,0.90370998002784,0.9175257731958762,0.6829268292682927,0.9652605459057072,0.23999999999999996,0.7049180327868853,0.8951666565845987,0.891566265060241,0.7049180327868853,0.933579335793358,0.205
EA-C5.3,Feature-engineered stacking — MLP tier ablation,C,ORIG,0.9729257641921397,0.9980559251570015,0.9905082669932639,0.9703832752613241,0.9947994056463596,0.4649999999999999,0.7421383647798742,0.8496943654300066,0.9154639175257732,0.7195121951219512,0.9553349875930521,0.25499999999999995,0.6949152542372882,0.8308632266650535,0.891566265060241,0.6721311475409836,0.940959409594096,0.235
EA-C5.4,Feature-engineered stacking — GBT tier ablation,C,ORIG,0.9895652173913043,0.9994848589963293,0.9963257807715861,0.9912891986062717,0.9973997028231798,0.355,0.7228915662650602,0.8525388851903407,0.9051546391752577,0.7317073170731707,0.9404466501240695,0.08499999999999998,0.6842105263157895,0.8138346137559735,0.891566265060241,0.639344262295082,0.948339483394834,0.145
EA-C5.5,Feature-engineered stacking — Platt scaling calibration,C,ORIG,,,,,,,0.7368421052631579,0.90370998002784,0.9175257731958762,0.6829268292682927,0.9652605459057072,0.40499999999999997,0.7049180327868853,0.8951666565845987,0.891566265060241,0.7049180327868853,0.933579335793358,0.24999999999999997
EA-C5.6,Feature-engineered stacking — disagreement stratification analysis,C,ORIG,,,,,,,0.7368421052631579,0.90370998002784,0.9175257731958762,0.6829268292682927,0.9652605459057072,0.23999999999999996,0.7049180327868853,0.8951666565845987,0.891566265060241,0.7049180327868853,0.933579335793358,0.205
EA-D1,Confidence-based selection (highest margin),D,LIT,,,,,,,0.7380952380952381,0.8525540156145979,0.9092783505154639,0.7560975609756098,0.9404466501240695,0.09999999999999998,0.6842105263157895,0.8463190369608615,0.891566265060241,0.639344262295082,0.948339483394834,0.12999999999999998
EA-D2,META-DES-style meta-classifier,D,LIT,,,,,,,0.7329192546583851,0.896144767899292,0.911340206185567,0.7195121951219512,0.9503722084367245,0.29,0.6984126984126984,0.8911741576432157,0.8855421686746988,0.7213114754098361,0.922509225092251,0.22499999999999998
EA-D3,Disagreement-triggered gating,D,ORIG,,,,,,,0.7368421052631579,0.9041638927555529,0.9175257731958762,0.6829268292682927,0.9652605459057072,0.21499999999999997,0.6870229007633588,0.8943802552779626,0.8765060240963856,0.7377049180327869,0.9077490774907749,0.18
EA-D4,Region-of-competence weighting,D,ORIG,,,,,,,0.7393939393939394,0.8952369424438661,0.911340206185567,0.7439024390243902,0.9454094292803971,0.26999999999999996,0.6942148760330579,0.8902062791119715,0.8885542168674698,0.6885245901639344,0.933579335793358,0.3
EA-D5,Body-part-constrained region-of-competence weighting,D,ORIG,,,,,,,0.7349397590361446,0.9035889366337833,0.9092783505154639,0.7439024390243902,0.9429280397022333,0.27499999999999997,0.6875,0.8960740427076402,0.8795180722891566,0.7213114754098361,0.915129151291513,0.26999999999999996
EA-E1,Confidence cascade,E,LIT,,,,,,,0.7425149700598802,0.8471978454275858,0.911340206185567,0.7560975609756098,0.9429280397022333,0.11499999999999998,0.6833333333333333,0.8468029762264835,0.8855421686746988,0.6721311475409836,0.933579335793358,0.205
EA-E2,Uncertainty-escalation cascade,E,ORIG,,,,,,,0.7466666666666667,0.9060400653634328,0.9216494845360824,0.6829268292682927,0.9702233250620348,0.42999999999999994,0.6942148760330579,0.8934728691549211,0.8885542168674698,0.6885245901639344,0.933579335793358,0.345
